dataset,type,function,run,time,size
A,xml.gz,write,77,16,57
A,xml.gz,read,77,15,57
A,bin,write,78,5,122
A,bin,read,78,8,122
A,xml,write,78,8,316
A,xml,read,78,14,316
A,xml.gz,write,78,17,57
A,xml.gz,read,78,17,57
A,bin,write,79,5,122
A,bin,read,79,8,122
A,xml,write,79,8,316
A,xml,read,79,12,316
A,xml.gz,write,79,16,57
A,xml.gz,read,79,15,57
A,bin,write,80,5,122
A,bin,read,80,7,122
A,xml,write,80,9,316
A,xml,read,80,11,316
A,xml.gz,write,80,16,57
A,xml.gz,read,80,15,57
A,bin,write,81,5,122
A,bin,read,81,7,122
A,xml,write,81,9,316
A,xml,read,81,11,316
A,xml.gz,write,81,16,57
A,xml.gz,read,81,15,57
A,bin,write,82,5,122
A,bin,read,82,8,122
A,xml,write,82,8,316
A,xml,read,82,14,316
A,xml.gz,write,82,20,57
A,xml.gz,read,82,15,57
A,bin,write,83,5,122
A,bin,read,83,8,122
A,xml,write,83,8,316
A,xml,read,83,12,316
A,xml.gz,write,83,16,57
A,xml.gz,read,83,15,57
A,bin,write,84,5,122
A,bin,read,84,8,122
A,xml,write,84,8,316
A,xml,read,84,11,316
A,xml.gz,write,84,17,57
A,xml.gz,read,84,15,57
A,bin,write,85,14,122
A,bin,read,85,8,122
A,xml,write,85,8,316
A,xml,read,85,11,316
A,xml.gz,write,85,16,57
A,xml.gz,read,85,15,57
A,bin,write,86,4,122
A,bin,read,86,8,122
A,xml,write,86,11,316
A,xml,read,86,12,316
A,xml.gz,write,86,16,57
A,xml.gz,read,86,16,57
A,bin,write,87,5,122
A,bin,read,87,8,122
A,xml,write,87,8,316
A,xml,read,87,11,316
A,xml.gz,write,87,15,57
A,xml.gz,read,87,15,57
A,bin,write,88,4,122
A,bin,read,88,8,122
A,xml,write,88,8,316
A,xml,read,88,11,316
A,xml.gz,write,88,15,57
A,xml.gz,read,88,15,57
A,bin,write,89,4,122
A,bin,read,89,8,122
A,xml,write,89,8,316
A,xml,read,89,14,316
A,xml.gz,write,89,17,57
A,xml.gz,read,89,15,57
A,bin,write,90,5,122
A,bin,read,90,7,122
A,xml,write,90,9,316
A,xml,read,90,12,316
A,xml.gz,write,90,16,57
A,xml.gz,read,90,15,57
A,bin,write,91,4,122
A,bin,read,91,8,122
A,xml,write,91,8,316
A,xml,read,91,11,316
A,xml.gz,write,91,16,57
A,xml.gz,read,91,15,57
A,bin,write,92,5,122
A,bin,read,92,8,122
A,xml,write,92,7,316
A,xml,read,92,11,316
A,xml.gz,write,92,15,57
A,xml.gz,read,92,16,57
A,bin,write,93,4,122
A,bin,read,93,8,122
A,xml,write,93,8,316
A,xml,read,93,13,316
A,xml.gz,write,93,18,57
A,xml.gz,read,93,15,57
A,bin,write,94,5,122
A,bin,read,94,7,122
A,xml,write,94,8,316
A,xml,read,94,12,316
A,xml.gz,write,94,15,57
A,xml.gz,read,94,15,57
A,bin,write,95,5,122
A,bin,read,95,8,122
A,xml,write,95,8,316
A,xml,read,95,11,316
A,xml.gz,write,95,16,57
A,xml.gz,read,95,15,57
A,bin,write,96,4,122
A,bin,read,96,8,122
A,xml,write,96,8,316
A,xml,read,96,19,316
A,xml.gz,write,96,16,57
A,xml.gz,read,96,16,57
A,bin,write,97,4,122
A,bin,read,97,8,122
A,xml,write,97,9,316
A,xml,read,97,13,316
A,xml.gz,write,97,17,57
A,xml.gz,read,97,16,57
A,bin,write,98,4,122
A,bin,read,98,8,122
A,xml,write,98,8,316
A,xml,read,98,11,316
A,xml.gz,write,98,16,57
A,xml.gz,read,98,14,57
A,bin,write,99,5,122
A,bin,read,99,7,122
A,xml,write,99,7,316
A,xml,read,99,11,316
A,xml.gz,write,99,16,57
A,xml.gz,read,99,15,57
A,bin,write,100,4,122
A,bin,read,100,9,122
A,xml,write,100,8,316
A,xml,read,100,11,316
A,xml.gz,write,100,16,57
A,xml.gz,read,100,15,57
A,bin,write,101,4,122
A,bin,read,101,8,122
A,xml,write,101,8,316
A,xml,read,101,12,316
A,xml.gz,write,101,21,57
A,xml.gz,read,101,15,57
A,bin,write,102,5,122
A,bin,read,102,8,122
A,xml,write,102,7,316
A,xml,read,102,12,316
A,xml.gz,write,102,15,57
A,xml.gz,read,102,15,57
A,bin,write,103,4,122
A,bin,read,103,8,122
A,xml,write,103,8,316
A,xml,read,103,11,316
A,xml.gz,write,103,15,57
A,xml.gz,read,103,15,57
A,bin,write,104,4,122
A,bin,read,104,8,122
A,xml,write,104,7,316
A,xml,read,104,12,316
A,xml.gz,write,104,15,57
A,xml.gz,read,104,15,57
A,bin,write,105,5,122
A,bin,read,105,8,122
A,xml,write,105,8,316
A,xml,read,105,12,316
A,xml.gz,write,105,19,57
A,xml.gz,read,105,16,57
A,bin,write,106,5,122
A,bin,read,106,8,122
A,xml,write,106,8,316
A,xml,read,106,12,316
A,xml.gz,write,106,15,57
A,xml.gz,read,106,15,57
A,bin,write,107,5,122
A,bin,read,107,8,122
A,xml,write,107,7,316
A,xml,read,107,11,316
A,xml.gz,write,107,15,57
A,xml.gz,read,107,15,57
A,bin,write,108,5,122
A,bin,read,108,17,122
A,xml,write,108,8,316
A,xml,read,108,12,316
A,xml.gz,write,108,15,57
A,xml.gz,read,108,14,57
A,bin,write,109,4,122
A,bin,read,109,8,122
A,xml,write,109,11,316
A,xml,read,109,14,316
A,xml.gz,write,109,17,57
A,xml.gz,read,109,16,57
A,bin,write,110,4,122
A,bin,read,110,8,122
A,xml,write,110,8,316
A,xml,read,110,11,316
A,xml.gz,write,110,16,57
A,xml.gz,read,110,15,57
A,bin,write,111,5,122
A,bin,read,111,7,122
A,xml,write,111,8,316
A,xml,read,111,12,316
A,xml.gz,write,111,15,57
A,xml.gz,read,111,15,57
A,bin,write,112,4,122
A,bin,read,112,8,122
A,xml,write,112,8,316
A,xml,read,112,11,316
A,xml.gz,write,112,15,57
A,xml.gz,read,112,15,57
A,bin,write,113,4,122
A,bin,read,113,8,122
A,xml,write,113,8,316
A,xml,read,113,12,316
A,xml.gz,write,113,18,57
A,xml.gz,read,113,16,57
A,bin,write,114,4,122
A,bin,read,114,8,122
A,xml,write,114,10,316
A,xml,read,114,15,316
A,xml.gz,write,114,15,57
A,xml.gz,read,114,14,57
A,bin,write,115,5,122
A,bin,read,115,7,122
A,xml,write,115,8,316
A,xml,read,115,11,316
A,xml.gz,write,115,15,57
A,xml.gz,read,115,15,57
A,bin,write,116,4,122
A,bin,read,116,8,122
A,xml,write,116,8,316
A,xml,read,116,11,316
A,xml.gz,write,116,15,57
A,xml.gz,read,116,15,57
A,bin,write,117,4,122
A,bin,read,117,8,122
A,xml,write,117,9,316
A,xml,read,117,16,316
A,xml.gz,write,117,17,57
A,xml.gz,read,117,16,57
A,bin,write,118,4,122
A,bin,read,118,8,122
A,xml,write,118,8,316
A,xml,read,118,11,316
A,xml.gz,write,118,16,57
A,xml.gz,read,118,15,57
A,bin,write,119,4,122
A,bin,read,119,8,122
A,xml,write,119,8,316
A,xml,read,119,11,316
A,xml.gz,write,119,24,57
A,xml.gz,read,119,15,57
A,bin,write,120,4,122
A,bin,read,120,8,122
A,xml,write,120,8,316
A,xml,read,120,11,316
A,xml.gz,write,120,15,57
A,xml.gz,read,120,14,57
A,bin,write,121,4,122
A,bin,read,121,8,122
A,xml,write,121,10,316
A,xml,read,121,19,316
A,xml.gz,write,121,17,57
A,xml.gz,read,121,17,57
A,bin,write,122,5,122
A,bin,read,122,7,122
A,xml,write,122,8,316
A,xml,read,122,11,316
A,xml.gz,write,122,15,57
A,xml.gz,read,122,15,57
A,bin,write,123,4,122
A,bin,read,123,8,122
A,xml,write,123,8,316
A,xml,read,123,11,316
A,xml.gz,write,123,15,57
A,xml.gz,read,123,15,57
A,bin,write,124,4,122
A,bin,read,124,8,122
A,xml,write,124,8,316
A,xml,read,124,11,316
A,xml.gz,write,124,15,57
A,xml.gz,read,124,15,57
A,bin,write,125,4,122
A,bin,read,125,8,122
A,xml,write,125,8,316
A,xml,read,125,12,316
A,xml.gz,write,125,19,57
A,xml.gz,read,125,15,57
A,bin,write,126,4,122
A,bin,read,126,8,122
A,xml,write,126,7,316
A,xml,read,126,11,316
A,xml.gz,write,126,15,57
A,xml.gz,read,126,15,57
A,bin,write,127,5,122
A,bin,read,127,7,122
A,xml,write,127,8,316
A,xml,read,127,11,316
A,xml.gz,write,127,15,57
A,xml.gz,read,127,15,57
A,bin,write,128,5,122
A,bin,read,128,7,122
A,xml,write,128,8,316
A,xml,read,128,11,316
A,xml.gz,write,128,15,57
A,xml.gz,read,128,15,57
A,bin,write,129,4,122
A,bin,read,129,8,122
A,xml,write,129,8,316
A,xml,read,129,11,316
A,xml.gz,write,129,22,57
A,xml.gz,read,129,15,57
A,bin,write,130,4,122
A,bin,read,130,8,122
A,xml,write,130,8,316
A,xml,read,130,11,316
A,xml.gz,write,130,15,57
A,xml.gz,read,130,15,57
A,bin,write,131,5,122
A,bin,read,131,18,122
A,xml,write,131,9,316
A,xml,read,131,14,316
A,xml.gz,write,131,16,57
A,xml.gz,read,131,17,57
A,bin,write,132,5,122
A,bin,read,132,10,122
A,xml,write,132,9,316
A,xml,read,132,14,316
A,xml.gz,write,132,16,57
A,xml.gz,read,132,18,57
A,bin,write,133,7,122
A,bin,read,133,11,122
A,xml,write,133,10,316
A,xml,read,133,13,316
A,xml.gz,write,133,17,57
A,xml.gz,read,133,17,57
A,bin,write,134,5,122
A,bin,read,134,10,122
A,xml,write,134,9,316
A,xml,read,134,13,316
A,xml.gz,write,134,17,57
A,xml.gz,read,134,17,57
A,bin,write,135,5,122
A,bin,read,135,9,122
A,xml,write,135,10,316
A,xml,read,135,13,316
A,xml.gz,write,135,15,57
A,xml.gz,read,135,15,57
A,bin,write,136,4,122
A,bin,read,136,9,122
A,xml,write,136,8,316
A,xml,read,136,11,316
A,xml.gz,write,136,15,57
A,xml.gz,read,136,16,57
A,bin,write,137,4,122
A,bin,read,137,9,122
A,xml,write,137,8,316
A,xml,read,137,11,316
A,xml.gz,write,137,15,57
A,xml.gz,read,137,15,57
A,bin,write,138,4,122
A,bin,read,138,8,122
A,xml,write,138,8,316
A,xml,read,138,11,316
A,xml.gz,write,138,15,57
A,xml.gz,read,138,14,57
A,bin,write,139,5,122
A,bin,read,139,7,122
A,xml,write,139,8,316
A,xml,read,139,11,316
A,xml.gz,write,139,21,57
A,xml.gz,read,139,15,57
A,bin,write,140,4,122
A,bin,read,140,8,122
A,xml,write,140,8,316
A,xml,read,140,11,316
A,xml.gz,write,140,15,57
A,xml.gz,read,140,14,57
A,bin,write,141,4,122
A,bin,read,141,8,122
A,xml,write,141,7,316
A,xml,read,141,11,316
A,xml.gz,write,141,15,57
A,xml.gz,read,141,15,57
